Ticker,Last Price,30d MA,Max (60d),Drop from ATH (%),SMA50,SMA100,SMA200,EMA20,EMA50,EMA12,EMA26,VWAP,VWAP Diff (%),Swing High (%),Swing Low (%),RSI,Strefa,EMA Crossover
XTB.WA,89.8,76.5,89.8,0.0,72.36,71.42,N/A,80.81,75.47,83.57,79.21,71.0,20.93,0.0,29.82,88.06,Blisko Swing High,Bullish
KRU.WA,410.7,385.26,453.8,9.5,391.63,410.44,N/A,394.16,396.02,398.13,393.25,403.87,1.66,10.49,14.29,77.47,Neutral,Bullish
DCR.WA,72.4,71.57,79.8,9.27,72.58,72.58,N/A,72.36,72.55,72.59,72.35,71.93,0.64,10.22,6.08,53.03,Neutral,Bullish
PKN.WA,72.27,67.21,72.27,0.0,66.64,59.74,N/A,68.22,65.74,69.1,67.71,58.84,18.58,0.0,21.06,86.92,Blisko Swing High,Bullish
